	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
3895	dispermox	1	Ineffective	Moderate Side Effects	ear infection	To clear the ear infection she was having and the mild cough and other cold systom she was suffering from at the time. The drug is a penicilin-type antibiotic used to treat a wide variety of bacterial infections.	Nausea vomiting or diarrhea may occur. the medicine may cause temporary staining of the teeth, serious side effects such as dark urine,persistent nausea or vomiting,stomach pain or cramping or blood or mucus in your stool.  Prolong use oral thrush or a new viginal yeast infextion.  White patch in your mouth a change in vaginal discharge or other new systoms.  My child itch all over	I can't remember quite well but it was to take it after each meal 3 times a day.
1750	topamax	7	Highly Effective	Moderate Side Effects	migraine	daily headaches reduced to 3 times a month.  Lost a lot of weight.	tingling fingers temporarily, fatigue, increased hair loss, weight loss.  Blood pressure dropped very low during weight loss phase.	take one in morning and one before bed.  I have a mixture of migraine and tension headache.  The tension headaches all but disappeared.  Migraines came only 3 days before period after begining topamax.
3928	nexium	7	Considerably Effective	No Side Effects	acid reflux	Nexium does help in controlling reflux, but I haven't gone without it in so long that I don't know how my reflux would do on its own.  It isn't a complete fix.  I can't blame the drug for this, but it doesn't help at all if I drink caffeine.	No known side effect	I take it once daily on an empty stomach.  I sometimes take an additional dose at night if I'm having problems, but that doesn't seem to do my any good.
1327	prevacid	10	Highly Effective	No Side Effects	reflux	Completely eliminated my heartburn and reflux, which were a daily occurence and were not treated effectively with OTC medications like Pepcid.	None	Taking the drug on a daily basis got rid of my heartburn.  I recently had a scope of my upper GI and there were no problems.  I think Prevacid keeps me from having any damage to my esophagus.
263	ultram	3	Moderately Effective	Severe Side Effects	sciatica and back pain	Mild to moderate relief of back pain	Addiction to the medicine. I could not stop taking it without experiencing physical withdrawal. [Sweating, night sweats, jumping out of skin, jittery nerves, lethargy, fatigue, depression.] I took it over a year just because I could not NOT take it. Finally, I quit cold turkey, suffered the withdrawal for about two days. Took over 8 months until the nerve jumps in my skin stopped at night.	I wanted a non-addictive drug since I am a recovering alcoholic so my doctor thought this was the ticket. The withdrawal was not worth the pain it initially alleviated. I would not have taken it had I known this would happen. I would have simply dealt with the back pain by altering my routine and lifestyle instead.
3694	effexor-xr	8	Highly Effective	Mild Side Effects	anxiety	After taking effexor XR, a consideralbe change in attitude and general outlook was improved. Increased desire to do daily activities improved as well as anxiety about social situations descreased somewhat.	There were really no side effects other than when one dose was missed, I became very dizzy.	I was placed on Paxil at first which did work, however I had lots of acne as a result.  After being placed on Effexor, I noticed an immediate change, however because I have been on this dose for a long time, I feel that the effects are wearing off.  I have not yet discussed this with my doctor.
1968	lyrica	9	Considerably Effective	No Side Effects	fibromyalgia	Benefits where good with the Lyrica, I wish it controlled pain and inflamation more.  However I could not go back to living without it, I would be a mess.	No side effects related to the Lyrica medication.	The treament consisted of taking lyrica 75mg once in the morning and again a bed. Take the soma as needed and the morphine every 12 hours.
2744	actonel	5	Moderately Effective	Moderate Side Effects	improve bone density	There was some leveling out of bone loss.	I started having problems with my right jaw clicking, something similar to TMJ.  It went away completely when I stopped taking Actonel.  Not sure if it was related, but it seemed odd that it stopped when I quit the drug.	Mild osteopenia
1575	xanax	6	Considerably Effective	Moderate Side Effects	anxiety	effective in reducing anxiety	tiredness and little half-life causing quick mood shifts...  considered a time release but did not want to be drowsy all the time from the effects of the drug	twice daily.?  also suggested to take as needed, but i noticed a huge shift in tolerance quite quickly and more and more would be needed to maintain effects...
71	flexeril	7	Moderately Effective	Moderate Side Effects	tension headaches, upper/lower back pain, neck pai	To relax the muscles	major headaches 20-30 mins after taking it.	After i take the medication in 20-30 mins i get alot if headaches, from the neck all the way up to the front of my head. But after the drug really sets in the pain goes away. i hope this changes and just relaxes the body without the headaches, i have to take it for two week and i'm on my seccond day.
1765	topamax	4	Moderately Effective	Severe Side Effects	borderline personality disorder	Some weight loss/craving control, lessened desire to drink	Tons of tingling in the hands/feet, intense hypersomnia (sleeping 16+ hours a day), increased aggressiveness, loss of appetite, lack of energy	Topiramate was given as a mood stabilizer for bipolar and BPD, ended up sleeping a great deal of the time, which I suppose stabilizes your moods if you're never awake to have them.
3778	metronidazole	7	Moderately Effective	Severe Side Effects	bacterial vaginosis	The discharge odour had gone however the yellow discharge I was comaing about remained, going back to doctors tomorrow to see what they say.	Severe nausea, metalic tase, sick to the stomach, loss of appetite, dizziness, feeling sick and mild headaches and cramps.	I have yellow dicharge and after 3 attempts of swabs it finally came up as bv positive, was prescribed metronidazole 500 3 times a day
2472	enbrel	10	Highly Effective	Mild Side Effects	rheumatoid arthritis	Reduces the swelling of joints and pain associated with Rheumatoid Arthritis.  RA seems to be in remission, but if I dont use a shot for 3 weeks, I start getting flare ups.  I also was able to discontinue methotrexate.  I havent had a real flare up for over a year.	Itchiness at injection site.	Auto injection into alternating thigh every 7 days.
2921	tramadol	10	Highly Effective	No Side Effects	nightly leg pain	Completely stops nightly leg pain	No side effects at all	After trying everything from muscle relaxers to strong narcotic pain meds which did nothing to help my nightly leg pain, I was given Tramadol. I was to take 2 50mg tablets at bed time. I went home that day from the doctor thinking this was yet another medicine that would not work. To my surprise it worked! It has been the only treatment that works for my leg pain. I have taken it nightly for 2 years now. It has no side effects for me at all. I have not shown any signs of being addicted to the drug. I do not need more than the original dosage to work. I feel perfectly normal when taking it and can function normally. It doesn't help with other pain though and that is puzzling to me. But at least it works for my leg pain so I can sleep like a normal person at night.
169	zomig	9	Highly Effective	Mild Side Effects	migraine	Complete relief of headache - the only drug to take pain away. I used to get a severe headache at least once a month that lasted 48 hours over three days. Zomig has given me back my life and works even if the migraine has become established.	Slight drowsiness and fogginess. Sensitivity to heat in fingers.	Half a pill at onset of migraine, followed if necessary by another half
1512	lotrel	8	Highly Effective	Mild Side Effects	blood pressure	blodd pressure remained in the low area	drowsiness, loss of libido	once a day
3801	dostinex	6	Considerably Effective	Mild Side Effects	prolactin inhibitor	Treatment was not for traditional drug use. It was for sexual experimentation--to see if male orgasm response times were decreased and sexual desire after orgasm remained. This did work.	Mild fatigue and general apathy.	Took .25mg of Cabergoline 2 times per week for 6 weeks. During this time, the test was to see if time between orgasms decreased and if sexual desire remained. Test was successful.
3512	minoxidil	9	Highly Effective	Mild Side Effects	hair loss	Even though I am a woman, my dermatologist recommended that I use the men's dose of Rogain. It definitely thickened my hair, after using the woman's dose for several years, which just kept me from losing hair.	Mild drying of the scalp	Applied men's formulation of rogaine to my scalp twice a day.
3703	effexor-xr	7	Considerably Effective	Moderate Side Effects	depression	"I was a lot younger than what is normally recommended when I started taking Effexor at 15, but along with this help of a great therapist it definately seemed to lift that ""cloud"" of depression and my anxiety attacks and insomnia disappeared."	"dilated pupils, increase in heart rate. When I was being ""weaned"" off it, I had a lot of dizzy spells"	I was put on a 37.5 mg dose once daily for about a month before it was increased to 75 mg. While I was using this prescription, I had regular meetings with the psychiatrist who prescribed it to track my progress and I attended therapy sessions once a week.
4084	mobic	9	Highly Effective	No Side Effects	2 broken arms	"Swelling was demished.
Acheynesss is going away."	I never found that I had any side effects from this med.	"I had fallen at home and I have 2 broken arms that are both broken at the shoulder. I have a lot of swelling in both upper arms, and that makes healing very difficult. I have been taking Movic now for about a month. I have already found that the swelling has been deminishing and I have been starting to use my arms more. By the way, I broke my arms this last March, and I might be able to return to work by this November. I am so happy that my Ortho doctor prescribed this medication for me. I know what it did for me, and I hope it works for you too!!
My final word is "" thank God something that really seems to work "" Thank You Doctor Beretta !!!!!"
652	seasonique	7	Highly Effective	Moderate Side Effects	lessen periods due to pain with adenomyosis	It did help with my pain that comes with my adenomyosis. And it's nice to not have a period every month.	I have had spotting now for almost a month. I have gained about 5-10 pounds, which is not fun. I've had weird skin changes, and severe mood swings. I also feel bloated all the time.	none
4079	mobic	10	Highly Effective	Moderate Side Effects	inflamation 10 years after surgery	!0 years after spinal stenosis, scar-tissue and additional narrowing of nerve canals causes sever inflammation and pain. My back pain is virtually disappeared, I feel like a new kid on the block	"Constant chancre sores in the mouth. ""Tanac"" helps"	I take one 15 mg Mobic with dinner. I have nothing else to add
875	paxil	10	Highly Effective	Moderate Side Effects	clinical depression	After 15 days of taking the drug my mood lifted noticeably.  This reached the maximum level after about 5 weeks.  I experienced very high levels of confidence and an ability to focus much more on my goals.  This led to successful achievement and a dramatic move forward in my life.	A greatly lowered libido and extremely vivid dreams.	I was prescribed the drug at 20 mg a day.  For the first three weeks I took it in the morning but, due to severe drowsiness, after 20 days I began to administer it just before bedtime.  This resulted in the vivid dreams and led to greater alertness during the day.
1287	provigil	6	Marginally Effective	No Side Effects	fatigue from neurological and heart cond.	I took the 100mg tab around 9am with other meds per instructions, but the medication only lasted around 4 hours at the most, then I began to feel that wiped out feeling once again. I spoke with my gp & it was determined, that since my fatigue is so severe, we would move up immediately. Take 2 100mg tablets at 9a.m. then 1 100mg tablet at noon, should I be slowing down, with the engraved fatigue, I will change and rather than take 1 100mg tab at noon, I will take 2 200mg tabs at 1pm. Then by 4pm if needed take 1 100mg tablet. Will monitor closely, and go in monthly for Blood work, as this medication, can cause problems with the Liver.	N/A currently	Awaiting to see what is going to happen, I am VERY hopeful !!!! Good Luck to EVERYONE here, and God Bless, to each of you, and to me too :)
2485	mirtazapine	1	Ineffective	Severe Side Effects	depression	Nil	"-Insatiable hunger (added about 3kgs)
 -Constant Fatigue/grogginess
 -Dry Mouth at Night
 -Vivid Nightmares
 -Complete loss of labido (lame)

I was pretty much miserable the entire time i was taking it, but was aware that it was supposed to start doing what it was supposed to after the first month or so, so I persevered."	"Taking before bed to help depression.

Coming off the drug I felt awesome. Within a few days my energy returned as did my interest in my girlfriend.

This drug was total crap.

I'm now taking temazepam to help with sleeping and that is working pretty good most nights, no side effects."
4092	asmanex	10	Highly Effective	No Side Effects	asthma	Control of asthma symptoms; preventative treatment.	None.	This is the best preventative medication I've ever taken for my asthma.  I take it once a day, and it virtually eliminates all of my asthma symptoms.  I hardly ever have to use my albuterol inhaler anymore.  I would recommend this to anyone who suffers from asthma.
1964	lyrica	6	Considerably Effective	Severe Side Effects	fibromylgia	the benefits foe the pain was good, it helped the constant pain i was having in my muscles and the over all aching	sleepiness- fatigu memory loss- confusion-depression- trouble breathigng	good relief from pain  . i take 100mg. at bed time it helps me sleep well but am tired in the am. it makes me just want to lie on couch and sleep all day this makes my arthritis worse. am tired and draggy all day with no desire to do any thing, even the thing that have always interested me.am prescribed one 50g for daytimebut cannot tolerate it because i will sleep all day and be very light headed and unable to concentrate.
1955	lyrica	2	Marginally Effective	Severe Side Effects	myofascial pain	I did notice a slight decrease in the deep muscle pain that I normally experience.  There was no pain relief from the shoulder pain and neck pain.  No other benefits were experienced.	Form the onset I experienced a severe stabbing pain in my head followed by persistant headache for the remaining of the time i was on the medication.  I was plagued with upset stomach, constipation followed by diahrea, loss of balance, and the inability to remember words.  The night of the last day I took the medication I was unable to sleep due to the headache and therefore discontinued taking it.	I was prescribed 75 mf of Lyrica to be taken twice daily for seven days with and increase to 150 twice daily to follow.  Due to the side-effects I was experiencing my doctor discontinued this medication on the seventh day of treatment.
159	zomig	9	Considerably Effective	Mild Side Effects	migraines	I get occasional migraine headaches. Zomig is very effective in minmizing or eliminating the symptoms, which include severe headache, nausea, photosensitivity. I also get frequent exercise induced headaches, which do not respond to other OTC analgesics such as tylenol or motrin. Zomig is also very effective in minimizing or eliminating the headache pain.	Very mild feeling of flushing, or something like being light headed,	As soon as I determine this is a migraine, (severe headache with nausea) I take a zomig, and in between 45 minutes and 60 minutes, I start to feel a little light headed, and nausea and headache pain withdraw. For exercise headaches, the same pattern applies. As soon as I determine this is an exercise induced headache, I take a zomig, and within 60 minutes the pain has subsided.
4056	amoxil	8	Considerably Effective	Mild Side Effects	throat infection and cough	It cleared the throat infection (painful throat when swallowing or even touching the neck) and cough significantly after 5 days, and totally cleared symptoms after 2 weeks. My 78-year-old mother could not tolerate many antibiotics. This is 1 of the few that she could take fortunately.	There was dry mouth, which was easily solved by taking lime juice or sour drinks.	The treatment was easy as it involved swallowing tablets and drinking cough mixture.
983	macrobid	1	Considerably Effective	Extremely Severe Side Effects	uti	it did clear up my uti but not worth feeling like I did after taking this drug.	severe headache, chills, fever, I literally thought I was going to die. I took the drug as prescribed with food and after taking one pill became extremely sick. I would not recommend this drug and I flushed the rest of my prescription down the toilet!!	the prescription was to take 1 pill 2x per day for 7 days.
3323	tetracycline	4	Marginally Effective	Moderate Side Effects	acne	cleared bacteria on skin slightly	stomach pains sickness	tetracycline is a antibiotic and a hormone used to control infections and regulate hormonal imbalances.
1613	avage	8	Moderately Effective	Mild Side Effects	hyperpigmentation	Moderate lightening of hyperpigmentation, smoothing of fine lines and wrinkles	Significant peeling of skin around nose and chin, very flakey and noticable, along with all over redness on cheeks, nose and chin.	At night, applied pea size amount of cream after cleansing face. Significant peeling around the mouth and nose, so avoided these areas except 1x per week. Peeling would subside after skipping 1 to 2 days of treatment, so initially used 3x per week until skin became adapted to it. To minimize peeling, daily mild exfoliation of the skin really helped. While my hyperpigmentation is not completely gone, I am pleased with the tone of my skin and the minimized wrinkles.
953	diovan	7	Highly Effective	Moderate Side Effects	high blood pressure	Reduced blood pressure.  If I was consistent with my dosage, after time if I missed a dose it wouldn't matter.  If I was inconsistent and forgetful with my dosage, I could feel heart palpitations and my bp would rise.  Bringing my weight down also helped greatly.  Typically my bp w/o dosing is 140/90.  At one time, I got it down to 118/80.  Consistency is a key in remembering to take the tablet faithfully every day and at the same time daily.	Initially I didn't notice any side effects.  After time, sometimes forgetting to take it, not getting RX refilled in time, chaning RX's, going back to Diovan, etc., my side effects became more noticeable and I had more of them.  Moderate to sever muscle aches were my major side effect.  Noticed more concentration required during driving, and eye vision blurriness.	At first took 80 mg dose, did well for several years.  Over time, weight crept up, wasn't managing stress well and dosage was upped to 160 mg.  Noticed more side effects on that dosage than on the 80 mg dose.  Also caffeine seems to play a major role for me in rising bp, as well as salt causing water retention.
2615	adderall-xr	9	Considerably Effective	Mild Side Effects	adhd	great focus, mental clarity, helped me wake up, made me care about doing things and getting things finished, improved my mood. i started eating better for me (when i did eat), and it made me check my blood glucose levels more (so improved my health).	didn't eat as much, was a little emotionally cold sometimes.	"after psychological testing, was put on Adderall XR (I have known I was ADHD and needed medication for a long time, actually). i have nothing but good things to say about it. makes me feel ""normal"" for once. i finally am in control of things. also, after going on Adderall XR, I have been able to go off my Cymbalta (neither my doctor or I have figured out why this is... but it is!)"
3740	lamictal	8	Considerably Effective	Mild Side Effects	bipolar ii	I have already noticed my mood becoming more stable, and it has only been a month since I have started this medicine.  I feel like I have become less emotional and more rational.  I still have some anxiety, but that is why I take buspirone 2X a day with this drug.	I have had a constant headache with this drug.  After I first take it, I feel somewhat fatigued and dizzy.  I was on Depakote in the past and definitely had more side effects, such as alopecia.  My psychiatrist told me that these associated headaches should become less severe the longer I take this medication.	Right now I am just taking 25 mg Lamictal once a day. I recently just stop taking Adderall, and so far have experience less anxiety.  I also take busiprone twice a day with the lamictal.
555	doryx	7	Considerably Effective	Moderate Side Effects	acne	Clearer skin,free from major breakouts	I often wondered if the osteopenia and mild von willowbrant's were a result of long term use of Doryx (an antibiotic).  Prior to taking Doryx, I had taken Tetracycline (since my late teens I have been on an antibiotic of some kind).  I am presently antibiotic free but am taking Spironolactone to control breakouts. A hematologist said my blood was deficient in collagen. Could this mild deficientcy be connected to antibiotic use, as well?	1 tablet once a day before food.  I usually took it first thing in the morning.  I also avoided any calcium supplements and dairy products for two hours afterwards.
1344	piroxicam	10	Highly Effective	Mild Side Effects	osteo arthritis	greatly diminished arthritis pain, increased joint flexibility.	small nicks / scratches bled more easily	I started taking 10mg piroxicam about 12 or 13 years ago for arthitis pain in my hands with great results. Subsequently developed arthritis in both knees and have stayed on same dosage with good relief of symptoms. Dosage was increased to 20mg after a tibial plateau fracture of a severely arthritic knee and I stayed at that dosage for about two years.  Have recently lost 20+ pounds and returned to the 10mg dosage with only slight decrease in relief of discomfort.
2947	zyban	1	Ineffective	Extremely Severe Side Effects	smoking cessation	none	severe anxiety attacks, depression, suicidal thoughts.	"I had to take 150mg daily for the 1st 5 days, then twice daily.
The tablets made me feel very anxious and depressed from day 6 onwards. I experienced a full blown anxiety attack on day 10, with racing thoughts that I could not control, suicidal thoughts, and a feeling that I was about to lose my mind. I had the presence of mind to realise that I was experiencing a reaction to the drug, but had to call a friend to spend the evening with me as I was experiencing a strong urge to kill myself. I discontinued the tablets, and the symptoms went away immediately"
3344	lipitor	7	Highly Effective	Severe Side Effects	cholesterol	Lowered cholesterol well	Aching and weak muscles	Changed to another drug. Now taking Crestor
1125	evista	10	Highly Effective	No Side Effects	cancer prevention	My blood pressure is now in the normal range. My blood pressure ranges from 110 over 80 to 137 over 90. This limits the possibility of stroke.	There are no side effects to this drug that I have experienced.	I take one pill once each day. The dosage on the bottle reads 100/25.
561	atenolol	8	Considerably Effective	No Side Effects	anxiety induced palpitations	I was good that I only had to take this once per day.� More often and I probably would have forgotten or become obsessed with remembering.	I read the pamphlet and there are a few side effects such as dizziness but I didn't suffer any.	1/2 tablet taken each morning.� Behavioural training.� Cease medication
1706	retin-a-micro	10	Highly Effective	Moderate Side Effects	acne	acne cleared up and the whiteheads and blackheads and bumps disappeared, and pores visibly shrunk and skin got smoother and softer.	Some dry and flaking skin. Some irritation near mouth and nose.  Sensitivity to sun. Used sunscreen and hat to protect against sunburn.	Apply the cream once daily, usually at bedtime.
2997	restoril	9	Highly Effective	Mild Side Effects	sleep	It is very effective for falling and staying asleep.  Much more than over the counter medications.	a bit groggy in the morning.  It usually wore off by 9am or so but I wouldn't recommend to anyone with a job that requires intense focus.	Take one pill in needed before bed.
1800	biaxin-xl	8	Considerably Effective	Severe Side Effects	sinusitis	Reduce the infect quite a bit after the initial dosage. Made it easier to breath and reduced my fever and body ache.	I suffered from hallucinations and nightmares, also the tablet left a bad taste in the mouth for 7 to 8 hours. There was moderate sweating. However, the hallucinations made it hard to get proper sleep.	I was given 2ml of Methylprednisolone to reduce the inflammation of my sinusitis and to reduce the infect i was given Clarithromycin. I was ordered to take 2 tablets of 500mg once a day after meal.
316	ativan	8	Highly Effective	Moderate Side Effects	alcohol withdrawal	The medicine alleviated physical symptoms of withdrawal from use of alcohol and significantly decreased anxiety.	The drug created the same cognitive issues and coordination problems as alcohol. Taking it was like having a few glasses of wine. Driving would have been dangerous.	The medicine was prescribed upon hospital discharge.  Dosage was decreased every two days over six day period.
3432	tazorac	5	Marginally Effective	Moderate Side Effects	wrinkles premature aging	So far my skin has been red, itchy and peeling, but I have fewer blackheads and smaller pores.  I need keep using it to determine whether it will diminish fine lines and wrinkles.  Others say that you need to use it for at lease a month before the side effects diminish.	redness, itchiness and peeling.  Wrinkles around eyes actually seem a little worse due to dryness.  Need to wait and see in a month or so.	Apply moisturizer at night after cleansing...wait 10 minutes then apply a pea size drop of Tazorac over entire face.  Every other day, not every day.
2750	xenical	7	Moderately Effective	Moderate Side Effects	overweight	Lost 10 pounds.	Oily stools, gas, bloating.  Learned to avoid greasy foods.  I experienced no other side effects.	I took a 120mg pill after any meal with fat (2-3 times daily).  It seemed like over time, since my body was aborbing less calories i started to crave less.  The only problem was that without modifying my diet, the weight came back after i quit taking the drug.  It is also expensive, and although it does work I am not sure it is worth the high price.
1300	zocor	1	Ineffective	Extremely Severe Side Effects	cholesterol levels	"My cholesterol level, in the Uk, is 3.3 which the specialist tells me is excellent. 

Before taking Simvastatin I was prescribed Atoravastatin. The change was purely a monetary one. My cholesterol level went down from 6.25 to 3.3 with Atoravastatin."	"Horrendous. Lethargy, muscle weakness, headaches, aching joints and muscles.  My symptoms and changed ""personality"" alarmed my family."	"For monetary reasons everyone in my surgery was prescribed Simvastatin. I had been taking Atoravastatin for years with no ill-effects.

From May till September I was taking Simvastatin. 

Returning from a holiday (ruined by the dreadful side -effects of Simvastatin), I saw my doctor. After three sentences of explanation she stopped me in my tracks by saying, *Mrs ---. You are really ill! Right, you are off all statins for a month. Your cholesterol level is excellent so you have no need to worry on that score. As from then you will be back on your old Atoravastin tablets, the lowest strength, as usual."" 

 I followed this advice and, a year later, feel GREAT!"
3420	tazorac	5	Moderately Effective	Moderate Side Effects	rosacia	At first my skin was looking really great it even made my wrinkles less noticible.	I seemed to have grown sensitive to the medication after 6 months and I was a mess.  I had a face of red, sensitive, peeling skin.	Pea size amount rubbed into facial skin every evening.
3754	spironolactone	10	Considerably Effective	No Side Effects	acne	the spironolactone has prevented the large cycst types of acne from forming. My skin looks a lot smoother.	if not taken daily it will not work. you can not miss a day or there will be some cycsts that will form.	spironolactone is a water pill that has the side effect of clearer skin. the spironolactone only is effective on the large cycst types of acne. If not taken daily there will be some cycsts that will form the week before you cycle. The small acne is taken care of with a retinol A cream.
2403	synthroid	9	Considerably Effective	No Side Effects	hypothyroidism	The treatment bendfits consisted of bringing the thyroid test results into the normal range for the TSH and T4 tests for a post-menopausal woman.	There were no treatment side effects noted.	Treatment consists of one 100mcg tablet taken early AM on an empty stomach with 8oz of water with no food for one hour after dose.
1356	crestor	8	Highly Effective	No Side Effects	very high cholestrol level 9.1	Stops the cholestrol level dramatically.	Once you take it, you cannot stop. I took the pill for one year. At that time my cholestrol level was pretty well controlled. It dropped from 8.6 to 5.1. I stopped the pills and the cholestrol level immediately rise even higher than before (9.1)	One pill per day after meal.
646	seasonique	4	Considerably Effective	Severe Side Effects	preventing pregnancy	Prevented pregnancy	I have bled for 3 1/2 weeks.  Began with huge clots and now minor spotting. Major moods swings.  I cry for no reason at all.  Breast are very tender. Decrease in libido. I donot like this BC.  Would prefer to use condoms.	This pill is suppose to provide 4 periods a year.  However it does not advertise break through bleeding that has lasted for more than 20 days.
299	lovenox	5	Highly Effective	No Side Effects	blood clot as a cause of early stage misscarriage	I had two early stage miscarriages, so I was tested by a reproductive specialist. She diagnosed that I have high blood clot factor. As soon as the third pregnancy was confirmed (5th week), I stated to take Lovenox once a day. After reaching 13th week and ultrasound confirmed the baby is growing well, I was allow to be off Lovenox. I am now in third trimester and my pregnancy went well.	There was no side effect, however I really hated giving injection to myself. I was so painfull. The injection spot became bruised, even though I iced it right away after injection. And the bruises did not heal for a week to two weeks. I picked different injection spot every day to avoid the bruised area, so my abdomen was purple for the 9 weeks.	As memtioned above in treatment benefits, this drug was used to avoid recurrance of early stage miscarriage. The high blood clot factor originates from two reasons: for one my husband and I share two HLA, and two I have condition so called antiphospholipid syndrome. To reduce the factor I was directed to take baby asperin and Lovenox. Once I reached 13th week when the plecenta is well establised and growth of baby was well, my doctor decided Lovenox is no longer needed and baby asperin alone be fine onward.
1282	provigil	9	Highly Effective	No Side Effects	fatigue	helped depression and energy. I entered Alcholics Anonymous and began recovery from years of substance abuse.  Provigil seems to take the edge off of my prior anxieties and helps to dig deep into the emotional reasons for the abuse.	none.I can honestly say I never feel wired or jittery, no known side effects that I can think of.	I take 200 mg arounfd noon and another at 4pm.  I sleep really well and can honestly say the provigil helps in my recovery process.
2468	aciphex	6	Highly Effective	Extremely Severe Side Effects	gerd	Aciphex was extremely effective in the treatment of GERD.  It reduced reflux and burning sensation immediately.  Unfortunately, due to severe side-effects, medication had to be discontinued.	Severe muscle pain and weakness	20 mg. taken daily.  Highly effective for treatment of GERD.   Unfortunately, resulting severe pain and weakness forced me to discontinue medication.
3795	keflex	9	Highly Effective	Mild Side Effects	kidney infection	Almost immediate reduction in pain and inflammation that was not resolved by trimethoprim previously- this is a lower uti drug.  Slept much better with less discomfort although tenderness remained for a few days.	Slight nausea as to be expected but swollen tender nipples which is something I'm not prone to.	Take one tablet at regular intervals 3 times a day complete the course as reduced symptoms dont mean the bacteria are fully gone.
156	zomig	8	Considerably Effective	Mild Side Effects	migraine	relieves most migraines if caught fairly early.  I've had some migraines that it was ineffective against.	fatigue, dry mouth	take a pill at the onset of a migraine.
195	adderall	10	Highly Effective	Mild Side Effects	add	"My daughter  was unable to focus and concentrate during classes.  
Her marks were terrible, she was failing many classes in spite of studying for hours on end (I can verify this as I studied with her) Her self esteem was very low due to this and the fact that she has a sister who consistently achieves high grades.  She became depressed and frustrated by this situation.

After seeing a neurologist and doing many test she was diagnosed with ADD.  We started her on Adderall and the results have been amazing.  Now, she does minimal studying and her marks are EXCELLENT!  She is able to focus and really pay attention in classes so the information is not only understood but retained.  Her self esteem has soared and she is once again a happy little girl."	We took her off the time released medication and switched is a regular so that it would not interfer with her sleep which it did in the beginning with the time released.	She takes 10 mg at 6:00 A.M. and another at 12:00 noon which lasts through homework.  This is only on school days and we go off althought during summer and school holidays with not adverse effects
618	finacea	8	Considerably Effective	No Side Effects	rosacea/acne	Less acne (diminished whiteheads and blackheads), smoother skin, and less redness.	The only side effect was a transient stinging upon application that would last 15 minutes at most. The stinging did not coinside with redness or irritation.	Thin application of finacea to clean skin once a day, followed by a light moisturizer.
2495	remeron	6	Moderately Effective	Mild Side Effects	depression -- anxiety -- insominia	It made a noted difference to my depression, but not much to my anxiety. If anyone is hyperactive this drug seemed to be sedating and gentle (if u can handle that).	"The only side effect i encounterd was sleepness, however i slept great every night but also felt like sleeping all day. i am a mother of 3 kids under 4 years old and soon found the loss of energy had to cope with.  **
I realy have nothing bad to say about this drug, however if you are at a loss for energy to begin with, this drug will make it worse."	30 mg tab  1 x daily for 3 months
2009	vicodin	1	Considerably Effective	Moderate Side Effects	nausea, headaches, dizziness	reactions over-road the benefits.  I will simply say that I did not think I received benefits from this particular drug.  There are other pain inhibitors that worked as well as the vicodin with out the druggy feelings and sickness.	headaches, nausea, druggy feelings, heaviness, just an overall sense of malaise.  Felt like I was in a drug induced stupor.  Very uncomfortable and unacceptable.	to control pain after surgery
1027	vyvanse	10	Highly Effective	Mild Side Effects	attention issues, to much to do/ too little time	"I was able to create a tasks list, complete the list in full and stay focused for a full days work, and not get sidetracked or feel the least bit tired.
Day after day, I continued to work better than I had been able to for years."	Lack of appetite was a problem at first.  Edgy when the medicatin is wearing down (10 hours after taking.)	Had to go to a psychiatrist to get it prescribed.  Check ups every 3 months to determine effectiveness.  So far everything is a go!  I cannot express how this has changed my life!
2331	flecainide	10	Highly Effective	No Side Effects	atrial fibulation	"The treatment benefits were that the incidence of arrhythmia was drastically
reduced and the duration of episodes was also drastically reduced. I could
go for days, weeks, and months without having any episodes.  When I do have
an episode, it is mild and short lived."	"There were no side effects that I can recall at the outset and there are no
side effects now."	"I was initially prescribed Beta Blockers. These caused great lethargy
and dizzyness.  I was tired and had no energy for even the slightest efforts.
After trying several Beta Blockers, I was switched to Calcium Channel 
Blockers.  I did not feel well with these either. Finally I was prescribed
Flecainide which is evidently not a very popular choice.  It seems to have
worked well for me."
2590	oxazepam	7	Highly Effective	Mild Side Effects	anxiety	This medication relieve nervousness and tension and improve sleep disturbances.	This medication causes drowsiness and dizziness, memory loss and depression	i take this drug on an as-needed basis. i take this drug 30 to 60 minutes prior to bedtime. I take it for three weeks on a regular basis. the first week three times the second week two times and the third week three times. The drug was very effective. I fel immediatly in sleep.The most common side effects of benzodiazepine i had were drowsiness and impaired coordination. Other side effects include slowed mental processing, confusion, memory impairment and fatigue.
5	nasonex	8	Considerably Effective	Mild Side Effects	allergies, congested and runny nose	able to taper off on the Allevert and just use this. Helped with congestion, helped with sleeping.	"Fear of nasal polyps and being ""addicted"" to medication. I stopped using it as soon as allergy season was over. I like the product, but am concerned about long-term effects."	Now allergies seem to be coming back, so starting again, using one spray instead of two per nostril. Still seems to work.
